Chrom	Start	End	U90(w<0.01,y=(=1.0))	Q95(w<0.01,y=(=1.0))	Overlapping Candidate
chr4	172800001	172850000	20	1.0	chr4:172841364,chr4:172841570,chr4:172843734,chr4:172843983,chr4:172844054,chr4:172844180,chr4:172844228,chr4:172844268,chr4:172844314,chr4:172844536,chr4:172844765,chr4:172844779,chr4:172845034,chr4:172845090,chr4:172845445,chr4:172845561,chr4:172846918,chr4:172847856,chr4:172847885
chr6	55650001	55700000	17	1.0	chr6:55669592,chr6:55682276,chr6:55682292,chr6:55682369,chr6:55682390,chr6:55682392,chr6:55682404,chr6:55682487,chr6:55682526
chr6	108000001	108050000	16	1.0	chr6:108030836,chr6:108033705,chr6:108034955,chr6:108036176,chr6:108039351,chr6:108040304,chr6:108042027
chr6	150400001	150450000	15	1.0	chr6:150411259,chr6:150420926,chr6:150421350,chr6:150423830,chr6:150426230
chr8	125250001	125300000	35	1.0	chr8:125250011,chr8:125250262,chr8:125250543,chr8:125250614,chr8:125250831,chr8:125251219,chr8:125251793,chr8:125252394,chr8:125252399,chr8:125253012,chr8:125256618,chr8:125256786,chr8:125258288,chr8:125258663,chr8:125259568,chr8:125261901,chr8:125262707,chr8:125263476,chr8:125263928,chr8:125264309,chr8:125264468,chr8:125265160,chr8:125265237,chr8:125266435,chr8:125266463,chr8:125266498,chr8:125266640,chr8:125266963,chr8:125267259,chr8:125267466,chr8:125268562,chr8:125269066,chr8:125269112,chr8:125288235
chr8	137900001	137950000	25	1.0	chr8:137905566,chr8:137905734,chr8:137906988,chr8:137907006,chr8:137907258,chr8:137907269,chr8:137909421,chr8:137909621,chr8:137909744,chr8:137910095,chr8:137910573,chr8:137910862,chr8:137911816,chr8:137912129,chr8:137912587,chr8:137912588,chr8:137913579,chr8:137913622
chr9	70450001	70500000	15	1.0	chr9:70469666,chr9:70469800,chr9:70469851,chr9:70469904
chr9	74900001	74950000	38	1.0	chr9:74901109,chr9:74901404,chr9:74902170,chr9:74902451,chr9:74902490,chr9:74903009,chr9:74903414,chr9:74903965,chr9:74904003,chr9:74904618,chr9:74904623,chr9:74904827,chr9:74904957,chr9:74905239,chr9:74905283,chr9:74906020,chr9:74908019,chr9:74908029,chr9:74911058,chr9:74911060,chr9:74911506,chr9:74911546,chr9:74911800,chr9:74913278,chr9:74913652,chr9:74914154,chr9:74914186,chr9:74915430,chr9:74916280,chr9:74916426,chr9:74919690,chr9:74919884,chr9:74920422,chr9:74920811,chr9:74920971,chr9:74921052
chr10	7750001	7800000	15	1.0	chr10:7779867,chr10:7780708,chr10:7782746,chr10:7783425,chr10:7784327,chr10:7784329,chr10:7784907,chr10:7785403,chr10:7785565,chr10:7785975,chr10:7786082,chr10:7786169,chr10:7786592,chr10:7791171
chr10	62300001	62350000	20	1.0	chr10:62306226,chr10:62309356,chr10:62309853,chr10:62309903,chr10:62309922,chr10:62310466,chr10:62310494,chr10:62310563,chr10:62310589,chr10:62310690,chr10:62310907,chr10:62312018,chr10:62312032,chr10:62312045,chr10:62312050,chr10:62312218,chr10:62313313,chr10:62313366,chr10:62313454,chr10:62313475
chr10	106350001	106400000	15	1.0	chr10:106382954,chr10:106383431,chr10:106383546,chr10:106383663,chr10:106383790,chr10:106383806,chr10:106383882,chr10:106384087,chr10:106384413,chr10:106384807,chr10:106384886,chr10:106385124,chr10:106385307
chr10	131300001	131350000	17	1.0	chr10:131300050,chr10:131300246,chr10:131300895,chr10:131301043,chr10:131301171,chr10:131301647,chr10:131302092,chr10:131302275,chr10:131302291,chr10:131302296,chr10:131302786,chr10:131303382,chr10:131304655,chr10:131306239,chr10:131306890,chr10:131307453,chr10:131307545
chr11	90700001	90750000	40	1.0	chr11:90700541,chr11:90701316,chr11:90706545,chr11:90707467,chr11:90708119,chr11:90708131,chr11:90708887,chr11:90709601,chr11:90710683,chr11:90710771,chr11:90710900,chr11:90711770,chr11:90712326,chr11:90712891,chr11:90713519,chr11:90713721,chr11:90716296,chr11:90717161,chr11:90718902,chr11:90720247,chr11:90720292,chr11:90726590,chr11:90726688,chr11:90727112,chr11:90727296,chr11:90727526,chr11:90727561,chr11:90727625,chr11:90727641,chr11:90727704,chr11:90727821,chr11:90728014,chr11:90728151,chr11:90728226,chr11:90728321,chr11:90728983,chr11:90729143,chr11:90729744
chr12	300001	350000	17	1.0	chr12:300593,chr12:303280,chr12:303340,chr12:303350,chr12:303854,chr12:303962,chr12:305392,chr12:307988,chr12:308318,chr12:308726,chr12:308786,chr12:308925,chr12:309180,chr12:314721,chr12:316674,chr12:332262
chr12	44550001	44600000	15	1.0	chr12:44582490,chr12:44583678,chr12:44584427,chr12:44584603,chr12:44585764,chr12:44586845
chr12	131150001	131200000	25	1.0	chr12:131192372,chr12:131193461,chr12:131193464,chr12:131194073
chr13	81500001	81550000	17	1.0	chr13:81504397,chr13:81504767,chr13:81506047,chr13:81514049,chr13:81522663,chr13:81523028,chr13:81523228,chr13:81523618,chr13:81523662,chr13:81523699,chr13:81524492,chr13:81524509,chr13:81525280,chr13:81525496,chr13:81525518
chr15	100550001	100600000	17	1.0	chr15:100566558,chr15:100566670,chr15:100567170,chr15:100567212,chr15:100567265,chr15:100567400,chr15:100567401,chr15:100567430,chr15:100567438,chr15:100567485,chr15:100567596,chr15:100567684
