Chrom	Start	End	U90(w<0.01,y=(=1.0))	Q95(w<0.01,y=(=1.0))	Overlapping Candidate
chr5	34450001	34500000	51	1.0	chr5:34452334,chr5:34456690,chr5:34460657,chr5:34460963,chr5:34463249,chr5:34466747,chr5:34471143,chr5:34472893,chr5:34477588,chr5:34480596,chr5:34483881,chr5:34486489,chr5:34487365,chr5:34487937,chr5:34488552,chr5:34491829,chr5:34493393,chr5:34493476,chr5:34493660,chr5:34493744,chr5:34493846,chr5:34493907,chr5:34494060,chr5:34494126,chr5:34494379,chr5:34494432,chr5:34495162,chr5:34495174,chr5:34495484,chr5:34495488,chr5:34495670,chr5:34495834,chr5:34496025,chr5:34496033,chr5:34496243,chr5:34496312,chr5:34496415,chr5:34496429,chr5:34496482,chr5:34496693,chr5:34496893,chr5:34497342,chr5:34497478,chr5:34498186
chr6	108000001	108050000	43	1.0	chr6:108005662,chr6:108030836,chr6:108032812,chr6:108033003,chr6:108033705,chr6:108034910,chr6:108034955,chr6:108035485,chr6:108036176,chr6:108038503,chr6:108038863,chr6:108039351,chr6:108039820,chr6:108040304,chr6:108042027,chr6:108042308,chr6:108042455,chr6:108042714,chr6:108043415,chr6:108043703,chr6:108043721,chr6:108043788,chr6:108045135,chr6:108048741,chr6:108049314
chr6	149400001	149450000	49	1.0	chr6:149401922,chr6:149403767,chr6:149405610,chr6:149407603,chr6:149413758,chr6:149414940,chr6:149415338,chr6:149415956,chr6:149416358,chr6:149416590,chr6:149422270,chr6:149423945,chr6:149424412,chr6:149424770,chr6:149425290,chr6:149426129,chr6:149426168,chr6:149426826,chr6:149427038,chr6:149427082,chr6:149427100,chr6:149427155,chr6:149427175,chr6:149427209,chr6:149427316,chr6:149427990,chr6:149428025,chr6:149428034,chr6:149428165,chr6:149428175,chr6:149428283,chr6:149431981,chr6:149440729,chr6:149441401,chr6:149441845,chr6:149442034,chr6:149443207
chr7	56150001	56200000	43	1.0	chr7:56153705,chr7:56154663,chr7:56156305,chr7:56161141,chr7:56164106,chr7:56164539,chr7:56164576,chr7:56164955,chr7:56166187,chr7:56166188,chr7:56166195,chr7:56168854,chr7:56169130,chr7:56169372,chr7:56169834,chr7:56171149,chr7:56171303,chr7:56172051,chr7:56173156,chr7:56177376,chr7:56177946,chr7:56179869,chr7:56180253,chr7:56181657,chr7:56183301,chr7:56188062,chr7:56189059,chr7:56190720,chr7:56190933,chr7:56191519,chr7:56191564,chr7:56195078,chr7:56198053,chr7:56198267,chr7:56199895
chr7	95700001	95750000	44	1.0	chr7:95707542,chr7:95717251,chr7:95718184,chr7:95719006,chr7:95720951,chr7:95721496,chr7:95721966,chr7:95729231,chr7:95735352,chr7:95735688,chr7:95735929,chr7:95742535
chr8	125250001	125300000	79	1.0	chr8:125250011,chr8:125250050,chr8:125250262,chr8:125250278,chr8:125250543,chr8:125250614,chr8:125250645,chr8:125250831,chr8:125250877,chr8:125251219,chr8:125251793,chr8:125252394,chr8:125252399,chr8:125252675,chr8:125252975,chr8:125253012,chr8:125255467,chr8:125256501,chr8:125256542,chr8:125256618,chr8:125256786,chr8:125257829,chr8:125257880,chr8:125257977,chr8:125258243,chr8:125258288,chr8:125258663,chr8:125258848,chr8:125259177,chr8:125259502,chr8:125259504,chr8:125259568,chr8:125260632,chr8:125260713,chr8:125260914,chr8:125261901,chr8:125261925,chr8:125262707,chr8:125263246,chr8:125263476,chr8:125263928,chr8:125264309,chr8:125264379,chr8:125264441,chr8:125264468,chr8:125264872,chr8:125264907,chr8:125265128,chr8:125265160,chr8:125265237,chr8:125265382,chr8:125265484,chr8:125266177,chr8:125266182,chr8:125266217,chr8:125266323,chr8:125266435,chr8:125266463,chr8:125266498,chr8:125266519,chr8:125266640,chr8:125266684,chr8:125266847,chr8:125266963,chr8:125267259,chr8:125267353,chr8:125267466,chr8:125267948,chr8:125268562,chr8:125269066,chr8:125269112,chr8:125269235,chr8:125269653,chr8:125281860,chr8:125283003,chr8:125288235,chr8:125298355,chr8:125298653
chr8	137900001	137950000	89	1.0	chr8:137901259,chr8:137901883,chr8:137902271,chr8:137902892,chr8:137903266,chr8:137903332,chr8:137903727,chr8:137903779,chr8:137904587,chr8:137904871,chr8:137905099,chr8:137905145,chr8:137905244,chr8:137905566,chr8:137905617,chr8:137905734,chr8:137906050,chr8:137906406,chr8:137906516,chr8:137906988,chr8:137907006,chr8:137907013,chr8:137907258,chr8:137907269,chr8:137907298,chr8:137908075,chr8:137908342,chr8:137908672,chr8:137908685,chr8:137908871,chr8:137908909,chr8:137908910,chr8:137909415,chr8:137909421,chr8:137909621,chr8:137909744,chr8:137909784,chr8:137909884,chr8:137910095,chr8:137910097,chr8:137910191,chr8:137910438,chr8:137910573,chr8:137910771,chr8:137910841,chr8:137910862,chr8:137911163,chr8:137911764,chr8:137911816,chr8:137911960,chr8:137912129,chr8:137912186,chr8:137912296,chr8:137912389,chr8:137912587,chr8:137912588,chr8:137912634,chr8:137912865,chr8:137912867,chr8:137912974,chr8:137913135,chr8:137913538,chr8:137913579,chr8:137913622,chr8:137913642,chr8:137913938,chr8:137914106,chr8:137914209,chr8:137914343,chr8:137914353,chr8:137914641,chr8:137915079,chr8:137915421
chr9	2650001	2700000	43	1.0	chr9:2651126,chr9:2653523,chr9:2657734,chr9:2658633,chr9:2663448,chr9:2665785,chr9:2666120,chr9:2668662,chr9:2670036,chr9:2671869,chr9:2672346,chr9:2673722,chr9:2674892,chr9:2681410,chr9:2683274,chr9:2683657,chr9:2686548,chr9:2686645,chr9:2686974,chr9:2690833,chr9:2690834,chr9:2690835,chr9:2690870,chr9:2692833,chr9:2695914,chr9:2695992,chr9:2696011,chr9:2696102,chr9:2696103,chr9:2696451,chr9:2697099,chr9:2697990,chr9:2698273
chr9	19200001	19250000	49	1.0	chr9:19211144,chr9:19211303,chr9:19211846,chr9:19215548,chr9:19217411,chr9:19223548,chr9:19224064,chr9:19225962,chr9:19226392,chr9:19229118,chr9:19229606,chr9:19232677,chr9:19232914,chr9:19234225,chr9:19234479,chr9:19234638,chr9:19234722,chr9:19236753,chr9:19236758,chr9:19237043,chr9:19237095,chr9:19237233,chr9:19237310,chr9:19237318,chr9:19237373,chr9:19237448,chr9:19237676,chr9:19238005,chr9:19238022,chr9:19238872,chr9:19239496,chr9:19239968,chr9:19239985,chr9:19240388,chr9:19240613,chr9:19240851,chr9:19240912,chr9:19241044,chr9:19241110,chr9:19241616,chr9:19245724,chr9:19245770,chr9:19246845,chr9:19247170,chr9:19248401,chr9:19249029,chr9:19249886
chr9	23200001	23250000	54	1.0	chr9:23207788,chr9:23209587,chr9:23223354,chr9:23228018,chr9:23236471,chr9:23238563,chr9:23238882,chr9:23238887,chr9:23241852,chr9:23242656
chr9	74900001	74950000	87	1.0	chr9:74900333,chr9:74900645,chr9:74900969,chr9:74901105,chr9:74901109,chr9:74901212,chr9:74901392,chr9:74901404,chr9:74902170,chr9:74902195,chr9:74902451,chr9:74902490,chr9:74903009,chr9:74903414,chr9:74903573,chr9:74903715,chr9:74903771,chr9:74903867,chr9:74903965,chr9:74904003,chr9:74904618,chr9:74904623,chr9:74904827,chr9:74904933,chr9:74904957,chr9:74905239,chr9:74905283,chr9:74906020,chr9:74906178,chr9:74907360,chr9:74908019,chr9:74908029,chr9:74908044,chr9:74908430,chr9:74908739,chr9:74908765,chr9:74908809,chr9:74910739,chr9:74911058,chr9:74911060,chr9:74911390,chr9:74911506,chr9:74911531,chr9:74911546,chr9:74911547,chr9:74911800,chr9:74912082,chr9:74912289,chr9:74912987,chr9:74913278,chr9:74913286,chr9:74913652,chr9:74914154,chr9:74914186,chr9:74915430,chr9:74915474,chr9:74915746,chr9:74915784,chr9:74915837,chr9:74916280,chr9:74916426,chr9:74918500,chr9:74919021,chr9:74919300,chr9:74919679,chr9:74919690,chr9:74919884,chr9:74919966,chr9:74919995,chr9:74920422,chr9:74920811,chr9:74920971,chr9:74921000,chr9:74921052,chr9:74921190,chr9:74921247,chr9:74925981,chr9:74930032,chr9:74933223,chr9:74934988,chr9:74938081
chr10	62300001	62350000	63	1.0	chr10:62306226,chr10:62307343,chr10:62307369,chr10:62308698,chr10:62309309,chr10:62309310,chr10:62309314,chr10:62309356,chr10:62309423,chr10:62309501,chr10:62309531,chr10:62309615,chr10:62309692,chr10:62309853,chr10:62309903,chr10:62309922,chr10:62309937,chr10:62310466,chr10:62310494,chr10:62310563,chr10:62310589,chr10:62310690,chr10:62310907,chr10:62311359,chr10:62311388,chr10:62311559,chr10:62312018,chr10:62312032,chr10:62312045,chr10:62312050,chr10:62312218,chr10:62313313,chr10:62313336,chr10:62313340,chr10:62313366,chr10:62313377,chr10:62313454,chr10:62313475,chr10:62313483,chr10:62313501,chr10:62313741,chr10:62313939,chr10:62314022,chr10:62314069,chr10:62314070,chr10:62314225,chr10:62314370,chr10:62314598,chr10:62314604,chr10:62314681,chr10:62314706,chr10:62314875,chr10:62314987,chr10:62324002,chr10:62324269,chr10:62336459,chr10:62336516,chr10:62337212,chr10:62339740,chr10:62345457,chr10:62346003
chr10	131300001	131350000	56	1.0	chr10:131300050,chr10:131300246,chr10:131300414,chr10:131300421,chr10:131300439,chr10:131300581,chr10:131300780,chr10:131300840,chr10:131300895,chr10:131301043,chr10:131301058,chr10:131301171,chr10:131301647,chr10:131301975,chr10:131302016,chr10:131302092,chr10:131302102,chr10:131302275,chr10:131302276,chr10:131302291,chr10:131302296,chr10:131302350,chr10:131302443,chr10:131302445,chr10:131302786,chr10:131302790,chr10:131303382,chr10:131303749,chr10:131303863,chr10:131303984,chr10:131304655,chr10:131305173,chr10:131305257,chr10:131305338,chr10:131306239,chr10:131306467,chr10:131306683,chr10:131306890,chr10:131307019,chr10:131307114,chr10:131307155,chr10:131307236,chr10:131307445,chr10:131307453,chr10:131307545,chr10:131307560,chr10:131307719,chr10:131314739,chr10:131321724,chr10:131326547,chr10:131327008,chr10:131329651,chr10:131333370,chr10:131338218,chr10:131341590,chr10:131341662
chr11	35900001	35950000	49	1.0	chr11:35905896,chr11:35907661,chr11:35907671,chr11:35908104,chr11:35908560,chr11:35908561,chr11:35908629,chr11:35908645,chr11:35908657,chr11:35908813,chr11:35908816,chr11:35908817,chr11:35908877,chr11:35909054,chr11:35909260,chr11:35909261,chr11:35909267,chr11:35910690,chr11:35912490,chr11:35913126,chr11:35913278,chr11:35914251,chr11:35914293,chr11:35914363,chr11:35914471,chr11:35914740,chr11:35916199,chr11:35916402,chr11:35918238,chr11:35921714,chr11:35927555,chr11:35931722,chr11:35934399,chr11:35936516,chr11:35937180,chr11:35938064,chr11:35938394,chr11:35940883,chr11:35942602
chr11	90700001	90750000	123	1.0	chr11:90700541,chr11:90701316,chr11:90703041,chr11:90703359,chr11:90703986,chr11:90704250,chr11:90704575,chr11:90705653,chr11:90705695,chr11:90706460,chr11:90706545,chr11:90707467,chr11:90708119,chr11:90708131,chr11:90708296,chr11:90708299,chr11:90708887,chr11:90709601,chr11:90710602,chr11:90710639,chr11:90710666,chr11:90710683,chr11:90710736,chr11:90710771,chr11:90710787,chr11:90710900,chr11:90710907,chr11:90711770,chr11:90712196,chr11:90712326,chr11:90712891,chr11:90713519,chr11:90713553,chr11:90713721,chr11:90714839,chr11:90714959,chr11:90714988,chr11:90714989,chr11:90716296,chr11:90716504,chr11:90716643,chr11:90717116,chr11:90717125,chr11:90717161,chr11:90717216,chr11:90717336,chr11:90717343,chr11:90717512,chr11:90717553,chr11:90717564,chr11:90718041,chr11:90718056,chr11:90718667,chr11:90718679,chr11:90718901,chr11:90718902,chr11:90719028,chr11:90719098,chr11:90720209,chr11:90720247,chr11:90720292,chr11:90720656,chr11:90721317,chr11:90722836,chr11:90722994,chr11:90723022,chr11:90723392,chr11:90723572,chr11:90724444,chr11:90724584,chr11:90724597,chr11:90724725,chr11:90724778,chr11:90726590,chr11:90726688,chr11:90727112,chr11:90727133,chr11:90727177,chr11:90727283,chr11:90727296,chr11:90727481,chr11:90727487,chr11:90727523,chr11:90727526,chr11:90727561,chr11:90727588,chr11:90727593,chr11:90727594,chr11:90727625,chr11:90727641,chr11:90727704,chr11:90727723,chr11:90727821,chr11:90728014,chr11:90728151,chr11:90728226,chr11:90728269,chr11:90728321,chr11:90728327,chr11:90728528,chr11:90728887,chr11:90728924,chr11:90728979,chr11:90728983,chr11:90729021,chr11:90729025,chr11:90729143,chr11:90729188,chr11:90729239,chr11:90729247,chr11:90729479,chr11:90729485,chr11:90729597,chr11:90729599,chr11:90729624,chr11:90729740,chr11:90729744,chr11:90730167,chr11:90740613,chr11:90749510
chr12	300001	350000	48	1.0	chr12:300236,chr12:300593,chr12:301811,chr12:302780,chr12:303175,chr12:303280,chr12:303340,chr12:303350,chr12:303854,chr12:303962,chr12:305392,chr12:305754,chr12:305767,chr12:307988,chr12:308318,chr12:308726,chr12:308786,chr12:308925,chr12:309180,chr12:311749,chr12:312320,chr12:313948,chr12:314586,chr12:314721,chr12:314927,chr12:315394,chr12:316674,chr12:317596,chr12:319185,chr12:319416,chr12:322009,chr12:325699,chr12:326644,chr12:327112,chr12:328375,chr12:332262,chr12:333007,chr12:334508,chr12:335526,chr12:337197,chr12:337539,chr12:339308,chr12:339562,chr12:339938,chr12:340264,chr12:343923,chr12:343924
chr12	44550001	44600000	54	1.0	chr12:44557006,chr12:44557681,chr12:44558556,chr12:44560464,chr12:44561733,chr12:44562751,chr12:44566631,chr12:44569336,chr12:44574036,chr12:44582477,chr12:44582490,chr12:44582671,chr12:44582738,chr12:44582880,chr12:44583177,chr12:44583309,chr12:44583678,chr12:44583949,chr12:44583955,chr12:44584011,chr12:44584331,chr12:44584427,chr12:44584476,chr12:44584603,chr12:44585400,chr12:44585728,chr12:44585764,chr12:44585972,chr12:44586845,chr12:44591605
chr12	131150001	131200000	60	1.0	chr12:131172162,chr12:131191427,chr12:131191901,chr12:131192096,chr12:131192372,chr12:131193386,chr12:131193461,chr12:131193464,chr12:131194073,chr12:131196230
chr13	81500001	81550000	55	1.0	chr13:81501949,chr13:81504397,chr13:81504767,chr13:81506047,chr13:81506275,chr13:81507597,chr13:81514009,chr13:81514049,chr13:81518224,chr13:81521047,chr13:81522663,chr13:81522687,chr13:81522713,chr13:81522809,chr13:81522837,chr13:81522856,chr13:81523028,chr13:81523080,chr13:81523228,chr13:81523438,chr13:81523519,chr13:81523618,chr13:81523662,chr13:81523699,chr13:81524084,chr13:81524206,chr13:81524492,chr13:81524501,chr13:81524509,chr13:81524620,chr13:81524678,chr13:81525260,chr13:81525280,chr13:81525305,chr13:81525348,chr13:81525395,chr13:81525496,chr13:81525518,chr13:81525535,chr13:81525548,chr13:81525591,chr13:81525613,chr13:81525641,chr13:81525655,chr13:81527866
chr14	58400001	58450000	52	1.0	chr14:58402699,chr14:58403524,chr14:58405071,chr14:58411631,chr14:58414595,chr14:58415546,chr14:58416981,chr14:58418294,chr14:58418754,chr14:58424632,chr14:58424806,chr14:58425488,chr14:58426513,chr14:58430855
chr16	12850001	12900000	68	1.0	chr16:12853924,chr16:12856477,chr16:12859267,chr16:12860035,chr16:12860633,chr16:12875148,chr16:12878227,chr16:12878246,chr16:12882766,chr16:12890208,chr16:12890541,chr16:12891910,chr16:12893644,chr16:12896154,chr16:12896659,chr16:12896921,chr16:12899119
chr18	30800001	30850000	52	1.0	chr18:30808217,chr18:30808993,chr18:30811092,chr18:30817047,chr18:30824277,chr18:30831704,chr18:30832050,chr18:30835176,chr18:30839738,chr18:30840300,chr18:30841284,chr18:30842156,chr18:30845281,chr18:30847215,chr18:30849869
chr19	55500001	55550000	43	1.0	chr19:55509950,chr19:55510815,chr19:55511968,chr19:55512231,chr19:55512253,chr19:55512442,chr19:55512575,chr19:55512824,chr19:55521003,chr19:55521524,chr19:55522379,chr19:55522388,chr19:55522460,chr19:55522613,chr19:55523156,chr19:55523278,chr19:55523498,chr19:55523572,chr19:55523576,chr19:55523635,chr19:55523661,chr19:55523705,chr19:55523765,chr19:55523841,chr19:55524082,chr19:55524218,chr19:55524221,chr19:55524224,chr19:55524550,chr19:55528847
